interview__key,METODO,Coord1__Latitude,Coord1__Longitude, EDAD , GENERO ,INT DE VOTO X ESPACIO,RADIO
28-76-11-35,F2F,-33.0120734000000,-60.6521521000000,36 a 45, Femenino ,JxC,820845204
91-43-94-39,F2F,-33.0118912000000,-60.6521394000000,26 a 35, Femenino ,LIBERTARIOS,820845204
46-79-64-82,F2F,-33.0096850000000,-60.6539608000000,36 a 45, Masculino ,PNK,820845213
58-36-72-79,F2F,-33.0119369000000,-60.6530751000000,26 a 35, Femenino ,PNK,820845213
02-30-15-72,F2F,-33.0207559500000,-60.6319127500000,46 a 55, Masculino ,OTROS,820846102
11-45-75-22,F2F,-33.0202202000000,-60.6316069000000,56 y mas, Femenino ,NINGUNO/NOSABE,820846102
29-19-85-48,F2F,-33.0194785000000,-60.6333636000000,56 y mas, Femenino ,NINGUNO/NOSABE,820846102
36-07-31-43,F2F,-33.0210789000000,-60.6307874000000,56 y mas, Masculino ,FdT,820846102
44-24-49-04,F2F,-33.0204344400000,-60.6325814200000,16 a 25, Femenino ,JxC,820846102
51-95-61-80,F2F,-33.0203153300000,-60.6336449300000,56 y mas, Masculino ,JxC,820846102
52-04-45-73,F2F,-33.0183328500000,-60.6340423200000,56 y mas, Masculino ,NINGUNO/NOSABE,820846102
88-74-35-14,F2F,-33.0193482600000,-60.6320654600000,16 a 25, Femenino ,FdT,820846102
99-54-58-13,F2F,-33.0194441400000,-60.6328975200000,46 a 55, Femenino ,PNK,820846102
68-42-35-87,F2F,-32.9381452315910,-60.6784001865734,56 y mas, Masculino ,PNK,820848001
03-68-85-54,F2F,-32.9399397257448,-60.6672557826157,36 a 45, Masculino ,FdT,820848003
12-54-73-11,F2F,-32.9408631543260,-60.6676274456462,16 a 25, Masculino ,FdT,820848003
16-59-05-78,F2F,-32.9408176764675,-60.6676100047816,56 y mas, Femenino ,NINGUNO/NOSABE,820848003
31-04-38-36,F2F,-32.9406340986239,-60.6672804426621,46 a 55, Femenino ,NINGUNO/NOSABE,820848003
73-72-18-32,F2F,-32.9398658011042,-60.6667832929266,16 a 25, Masculino ,LIBERTARIOS,820848003
83-10-08-06,F2F,-32.9403361255592,-60.6673354833505,16 a 25, Masculino ,LIBERTARIOS,820848003
93-32-92-79,F2F,-32.9408896148570,-60.6673285292533,16 a 25, Femenino ,FdT,820848003
50-68-51-39,F2F,-32.9381697596472,-60.6788694232506,46 a 55, Femenino ,NINGUNO/NOSABE,820848104
01-32-47-77,F2F,-32.9177331675548,-60.7280150363469,36 a 45, Femenino ,FdT,820848213
40-12-35-78,F2F,-32.9181540325592,-60.7279826404527,26 a 35, Masculino ,NINGUNO/NOSABE,820848213
46-77-77-82,F2F,-32.9179913415998,-60.7272183456146,46 a 55, Masculino ,LIBERTARIOS,820848213
58-28-69-86,F2F,-32.9180005016573,-60.7273537486718,26 a 35, Femenino ,PNK,820848213
70-88-61-95,F2F,-32.9182244998517,-60.7272693151972,46 a 55, Masculino ,NINGUNO/NOSABE,820848213
72-13-64-32,F2F,-32.9181028598968,-60.7278685932875,56 y mas, Masculino ,FdT,820848213
26-16-18-17,F2F,-32.9915536806420,-60.6659740704646,56 y mas, Femenino ,OTROS,820848703
25-40-89-20,F2F,-33.0310979000000,-60.6225701000000,46 a 55, Masculino ,FdT,820848907
61-51-13-30,F2F,-33.0299400000000,-60.6198976000000,26 a 35, Masculino ,FIT,820848907
78-18-26-10,F2F,-33.0296289300000,-60.6216281500000,26 a 35, Masculino ,PNK,820848907
95-78-63-61,F2F,-33.0306490000000,-60.6217799000000,46 a 55, Femenino ,OTROS,820848907
96-04-37-24,F2F,-33.0302274000000,-60.6205616000000,56 y mas, Femenino ,OTROS,820848907
03-79-99-22,F2F,-32.7458331000000,-60.7381033000000,46 a 55, Masculino ,OTROS,821191003
40-03-45-65,F2F,-32.7454365000000,-60.7383813000000,46 a 55, Femenino ,OTROS,821191003
49-18-05-74,F2F,-32.7448940000000,-60.7367748000000,36 a 45, Femenino ,OTROS,821191003
57-02-98-59,F2F,-32.7449028000000,-60.7376947000000,26 a 35, Femenino ,OTROS,821191003
62-12-43-41,F2F,-32.7458930000000,-60.7360744000000,56 y mas, Femenino ,JxC,821191003
83-07-42-73,F2F,-32.7450104802847,-60.7359970919788,36 a 45, Masculino ,PNK,821191003
64-05-27-56,F2F,-32.7475877478719,-60.7346508745104,26 a 35, Masculino ,LIBERTARIOS,821191008
3414642441,IVR,-32.94918630,-60.64518000,56 y mas, Masculino ,JxC,820840906
291155099717,IVR,-32.93162800,-60.65361150,46 a 55, Masculino ,NINGUNO/NOSABE,820842714
291156413311,IVR,-33.22715800,-60.32987040,46 a 55, Masculino ,OTROS,820841912
336154594572,IVR,-32.95870220,-60.69304160,26 a 35, Femenino ,FdT,820280506
340015503292,IVR,-32.97297240,-60.65973540,56 y mas, Femenino ,JxC,820280512
340015517273,IVR,-32.95870220,-60.69304160,46 a 55, Masculino ,JxC,820280311
340015523599,IVR,-32.95497730,-60.62870210,16 a 25, Femenino ,JxC,820847805
341152005540,IVR,-32.97570940,-60.65850420,36 a 45, Masculino ,NINGUNO/NOSABE,820840724
341152006574,IVR,-32.88910000,-60.69389610,56 y mas, Masculino ,JxC,820846104
341152012472,IVR,-32.91610600,-60.72024470,36 a 45, Masculino ,NINGUNO/NOSABE,820844820
341152014258,IVR,-32.91445120,-60.79882780,26 a 35, Femenino ,FIT,820845416
341152017295,IVR,-32.95870220,-60.69304160,46 a 55, Masculino ,JxC,820843406
341152019249,IVR,-32.95669060,-60.64336530,46 a 55, Masculino ,OTROS,820841709
341152023986,IVR,-32.94344450,-60.66729450,56 y mas, Masculino ,JxC,820841702
341152026248,IVR,-32.89047990,-60.73306790,56 y mas, Masculino ,NINGUNO/NOSABE,820843509
341152035448,IVR,-32.92541040,-60.70724690,36 a 45, Masculino ,NINGUNO/NOSABE,820842504
341152096381,IVR,-32.97471730,-60.63687440,26 a 35, Masculino ,NINGUNO/NOSABE,820842607
341152117641,IVR,-32.94665310,-60.64325430,36 a 45, Masculino ,NINGUNO/NOSABE,820848003
341152123451,IVR,-32.94488770,-60.64157450,56 y mas, Femenino ,NINGUNO/NOSABE,820844704
341152257491,IVR,-33.22715800,-60.32987040,46 a 55, Femenino ,FdT,820842501
341152262115,IVR,-32.97633850,-60.68259980,46 a 55, Masculino ,OTROS,820842107
341152262115,IVR,-32.97633850,-60.68259980,46 a 55, Masculino ,OTROS,820842107
341152265701,IVR,-32.95870220,-60.69304160,26 a 35, Femenino ,FdT,820845705
341152471517,IVR,-32.97471730,-60.63687440,46 a 55, Masculino ,LIBERTARIOS,820840503
341152476278,IVR,-32.98682870,-60.68374910,46 a 55, Masculino ,LIBERTARIOS,820840307
341152479640,IVR,-32.90336500,-60.68449340,26 a 35, Femenino ,NINGUNO/NOSABE,820843602
341152500466,IVR,-32.95870220,-60.69304160,16 a 25, Femenino ,LIBERTARIOS,820843014
341152706375,IVR,-32.95870220,-60.69304160,36 a 45, Femenino ,NINGUNO/NOSABE,820844604
341152746521,IVR,-32.89666710,-60.70899190,36 a 45, Masculino ,PNK,821190804
341152772069,IVR,-33.00771730,-60.67560730,26 a 35, Femenino ,FdT,820841302
341152823656,IVR,-32.95946200,-60.62991700,46 a 55, Masculino ,LIBERTARIOS,820843804
341152823656,IVR,-32.95946200,-60.62991700,46 a 55, Masculino ,LIBERTARIOS,820843804
341153001107,IVR,-32.95870220,-60.69304160,26 a 35, Masculino ,LIBERTARIOS,820846104
341153047294,IVR,-32.93535920,-60.69634030,46 a 55, Masculino ,JxC,820841101
341153060661,IVR,-32.94161450,-60.71739350,46 a 55, Masculino ,OTROS,820840611
341153063146,IVR,-32.88734190,-60.72051650,46 a 55, Masculino ,JxC,820842817
341153067615,IVR,-32.94422400,-60.63801000,56 y mas, Femenino ,LIBERTARIOS,820841015
341153071444,IVR,-32.95400330,-60.65821240,46 a 55, Masculino ,NINGUNO/NOSABE,820841018
341153078680,IVR,-32.95870220,-60.69304160,46 a 55, Femenino ,JxC,820843612
341153086959,IVR,-32.94475190,-60.64006250,56 y mas, Femenino ,JxC,820845202
341153094027,IVR,-33.00637490,-60.68874400,26 a 35, Masculino ,JxC,820840305
341153130107,IVR,-32.9469719,-60.6319324,46 a 55, Femenino ,NINGUNO/NOSABE,820842107
341153142783,IVR,-32.96029620,-60.69822920,56 y mas, Femenino ,JxC,820841411
341153142783,IVR,-32.96029620,-60.69822920,56 y mas, Femenino ,JxC,820841411
341153168470,IVR,-32.96406020,-60.67266650,26 a 35, Masculino ,LIBERTARIOS,820841705
341153169706,IVR,-32.97700160,-60.63774020,36 a 45, Femenino ,JxC,820848106
341153199462,IVR,-32.94612150,-60.64787920,26 a 35, Masculino ,LIBERTARIOS,820841916
341153212356,IVR,-32.74916900,-60.74316850,26 a 35, Masculino ,LIBERTARIOS,820842502
341153212356,IVR,-32.74916900,-60.74316850,36 a 45, Masculino ,LIBERTARIOS,820842502
341153256363,IVR,-32.95870220,-60.69304160,36 a 45, Masculino ,NINGUNO/NOSABE,820843604
341153260575,IVR,-32.95870220,-60.69304160,26 a 35, Femenino ,NINGUNO/NOSABE,820848604
341153280255,IVR,-32.92090980,-60.73186470,36 a 45, Masculino ,FdT,820846113
341153289089,IVR,-32.95896000,-60.71737410,36 a 45, Masculino ,LIBERTARIOS,820845013
341153301952,IVR,-32.88734190,-60.72051650,36 a 45, Masculino ,JxC,820844306
341153305170,IVR,-32.95870220,-60.69304160,16 a 25, Femenino ,JxC,820845412
341153307281,IVR,-32.96438410,-60.63253000,46 a 55, Masculino ,OTROS,820840617
341153308006,IVR,-32.96195100,-60.64485110,46 a 55, Masculino ,LIBERTARIOS,820843514
341153313742,IVR,-32.99578130,-60.61942720,26 a 35, Masculino ,NINGUNO/NOSABE,820845708
341153315923,IVR,-32.90531120,-60.69865400,46 a 55, Masculino ,FdT,820840617
341153315923,IVR,-32.90531120,-60.69865400,46 a 55, Masculino ,FdT,820840617
341153539251,IVR,-32.94900010,-60.67323930,56 y mas, Masculino ,LIBERTARIOS,820841509
341153546782,IVR,-32.99848130,-60.66726320,26 a 35, Masculino ,JxC,820843308
341153554169,IVR,-32.93734170,-60.68946300,26 a 35, Masculino ,FdT,820843707
341153586053,IVR,-32.95870220,-60.69304160,36 a 45, Masculino ,LIBERTARIOS,820842103
341153603192,IVR,-32.97107390,-60.68142390,36 a 45, Femenino ,JxC,820842203
341153603707,IVR,-32.93083400,-60.73346200,36 a 45, Masculino ,FdT,820840508
341153662459,IVR,-32.94697190,-60.63193240,46 a 55, Masculino ,JxC,820845412
341153673181,IVR,-32.94970760,-60.64270290,26 a 35, Femenino ,OTROS,820848203
341153707441,IVR,-32.83600070,-60.70609430,56 y mas, Masculino ,JxC,820841608
341153750222,IVR,-32.89366500,-60.70851700,36 a 45, Masculino ,JxC,820842301
341153750222,IVR,-32.89366500,-60.70851700,36 a 45, Masculino ,JxC,820842301
341153760211,IVR,-33.01341280,-60.65260570,36 a 45, Femenino ,LIBERTARIOS,820844706
