interview__key,METODO,Coord1__Latitude,Coord1__Longitude, EDAD , GENERO ,INT DE VOTO X ESPACIO,RADIO
341155900542,IVR,-32.9529449,-60.638768,26 a 35, Femenino ,NINGUNO/NOSABE,820842618
341155901225,IVR,-32.93118040,-60.69810370,36 a 45, Masculino ,OTROS,820843315
341155907777,IVR,-32.91683460,-60.74565810,46 a 55, Masculino ,NINGUNO/NOSABE,820842116
341155908800,IVR,-32.92582730,-60.73582380,36 a 45, Masculino ,JxC,820841705
341155909745,IVR,-33.00368780,-60.65057850,56 y mas, Femenino ,JxC,820842321
341155910861,IVR,-32.88997510,-60.69130640,56 y mas, Masculino ,PNK,820842904
341155921413,IVR,-32.95870220,-60.69304160,36 a 45, Masculino ,FdT,820842320
341155921449,IVR,-32.89140930,-60.69637300,36 a 45, Femenino ,PNK,820842501
341155928894,IVR,-32.95381560,-60.64424510,36 a 45, Femenino ,LIBERTARIOS,820844905
341155930243,IVR,-32.95870220,-60.69304160,46 a 55, Masculino ,FdT,820844914
341155933558,IVR,-32.97216120,-60.62583300,56 y mas, Femenino ,JxC,820842321
341155935812,IVR,-32.95870220,-60.69304160,36 a 45, Masculino ,LIBERTARIOS,820841912
341155949206,IVR,-32.95294490,-60.63876800,36 a 45, Masculino ,LIBERTARIOS,820840906
341155952942,IVR,-32.94344010,-60.63583640,36 a 45, Masculino ,FdT,820844716
341155954603,IVR,-32.93461700,-60.64534780,56 y mas, Femenino ,JxC,820842107
341155955653,IVR,-32.96741390,-60.73238390,56 y mas, Masculino ,NINGUNO/NOSABE,820843707
341155991384,IVR,-32.93083400,-60.73346200,36 a 45, Femenino ,LIBERTARIOS,820842110
341156023666,IVR,-33.02552030,-60.63376080,26 a 35, Masculino ,LIBERTARIOS,820846113
341156055642,IVR,-32.88528940,-60.69304690,56 y mas, Masculino ,FdT,820845704
341156055642,IVR,-32.88528940,-60.69304690,56 y mas, Masculino ,FdT,820845704
341156094336,IVR,-32.99440440,-60.63423090,56 y mas, Masculino ,JxC,820843707
341156108958,IVR,-32.98955830,-60.66743010,36 a 45, Masculino ,LIBERTARIOS,820843210
341156110975,IVR,-32.95708870,-60.71975500,36 a 45, Masculino ,JxC,820841601
341156119008,IVR,-33.01341280,-60.65260570,36 a 45, Masculino ,NINGUNO/NOSABE,820845601
341156142244,IVR,-32.95381560,-60.64424510,56 y mas, Femenino ,JxC,820842405
341156149548,IVR,-32.95122380,-60.70397690,36 a 45, Femenino ,FdT,820843619
341156168778,IVR,-32.95870220,-60.69304160,46 a 55, Masculino ,NINGUNO/NOSABE,820840507
341156202669,IVR,-33.01011790,-60.66111790,16 a 25, Masculino ,NINGUNO/NOSABE,820843609
341156224704,IVR,-32.89140930,-60.69637300,36 a 45, Femenino ,FdT,820842017
341156226133,IVR,-32.91037900,-60.79759670,16 a 25, Femenino ,FdT,820849003
341156227051,IVR,-32.91968860,-60.72770710,36 a 45, Masculino ,JxC,820844821
341156228412,IVR,-32.97750580,-60.67874850,26 a 35, Masculino ,JxC,820841912
341156229600,IVR,-33.02881910,-60.68434130,46 a 55, Masculino ,FdT,820842704
341156230462,IVR,-32.89056660,-60.69498020,36 a 45, Femenino ,JxC,820842323
341156237817,IVR,-32.92712950,-60.69519980,26 a 35, Femenino ,JxC,820841305
341156248195,IVR,-32.89721940,-60.70439370,56 y mas, Femenino ,LIBERTARIOS,820842108
341156249139,IVR,-32.93939670,-60.70570480,56 y mas, Masculino ,JxC,820845916
341156270136,IVR,-32.965064,-60.644151,56 y mas, Otro ,NINGUNO/NOSABE,820843804
341156275028,IVR,-32.95870220,-60.69304160,46 a 55, Femenino ,NINGUNO/NOSABE,820841924
341156278542,IVR,-32.90948830,-60.68281780,16 a 25, Otro ,NINGUNO/NOSABE,820841009
341156292337,IVR,-32.95756410,-60.62688270,56 y mas, Masculino ,FdT,820843511
341156294968,IVR,-32.95443530,-60.72565410,56 y mas, Femenino ,NINGUNO/NOSABE,820841813
341156352291,IVR,-32.95550800,-60.62718000,36 a 45, Masculino ,FdT,820843120
341156354288,IVR,-32.96029620,-60.69822920,36 a 45, Masculino ,FdT,820843215
341156359623,IVR,-32.93900500,-60.65308800,46 a 55, Masculino ,NINGUNO/NOSABE,820843712
341156361697,IVR,-32.94900010,-60.67323930,36 a 45, Femenino ,JxC,820841018
341156368528,IVR,-32.99194890,-60.64522530,56 y mas, Femenino ,FdT,820844301
341156369686,IVR,-32.93326990,-60.68638450,46 a 55, Femenino ,OTROS,820841104
341156377782,IVR,-32.92513510,-60.71955860,16 a 25, Femenino ,NINGUNO/NOSABE,820848501
341156387583,IVR,-32.95140990,-60.63776500,46 a 55, Femenino ,JxC,820841109
341156396271,IVR,-32.94697190,-60.63193240,36 a 45, Femenino ,JxC,820845906
341156443329,IVR,-32.95816660,-60.66756950,26 a 35, Masculino ,FdT,820845603
341156466318,IVR,-32.95870220,-60.69304160,56 y mas, Femenino ,NINGUNO/NOSABE,820842621
341156565858,IVR,-32.95588890,-60.64701110,36 a 45, Masculino ,LIBERTARIOS,820843204
341156581474,IVR,-32.95870220,-60.69304160,36 a 45, Femenino ,FIT,820843619
341156589366,IVR,-32.98179170,-60.70624380,56 y mas, Masculino ,JxC,820840506
341156601440,IVR,-32.90855930,-60.69365320,36 a 45, Femenino ,NINGUNO/NOSABE,820844911
341156639268,IVR,-32.92963870,-60.70900910,56 y mas, Masculino ,LIBERTARIOS,820848102
341156675790,IVR,-32.99751220,-60.63231030,56 y mas, Masculino ,FdT,820842310
341156680623,IVR,-32.95870220,-60.69304160,56 y mas, Femenino ,NINGUNO/NOSABE,820842701
341156685574,IVR,-32.95331540,-60.68117700,46 a 55, Femenino ,JxC,820841902
341156693449,IVR,-32.96377870,-60.68416530,46 a 55, Femenino ,JxC,820842905
341156707316,IVR,-32.93901840,-60.68036500,46 a 55, Femenino ,OTROS,820842113
341156707515,IVR,-32.95870220,-60.69304160,46 a 55, Masculino ,PNK,820848210
341156717102,IVR,-32.91973590,-60.69618760,46 a 55, Masculino ,JxC,820843811
341156765740,IVR,-32.98483680,-60.65563660,46 a 55, Masculino ,JxC,820842321
341156773239,IVR,-32.94406620,-60.65497470,46 a 55, Masculino ,LIBERTARIOS,820848104
341156833899,IVR,-32.99200880,-60.66751900,26 a 35, Masculino ,PNK,820845601
341156874598,IVR,-32.96711250,-60.69819980,46 a 55, Femenino ,NINGUNO/NOSABE,820843613
341156881820,IVR,-32.87632730,-60.69867540,36 a 45, Masculino ,FIT,820843802
341156892424,IVR,-33.02146700,-60.66244540,16 a 25, Masculino ,FdT,820845907
341156895151,IVR,-32.92548300,-60.76151030,36 a 45, Masculino ,LIBERTARIOS,820280414
341156925234,IVR,-32.89581080,-60.71365500,36 a 45, Femenino ,JxC,820845402
341156942201,IVR,-32.93911170,-60.68837700,56 y mas, Masculino ,JxC,820843803
341156962344,IVR,-32.83600070,-60.70609430,16 a 25, Otro ,LIBERTARIOS,820841602
341156967900,IVR,-32.94225830,-60.70280160,46 a 55, Femenino ,NINGUNO/NOSABE,821190807
341156981463,IVR,-32.97107390,-60.68142390,46 a 55, Femenino ,FdT,820840518
341156983365,IVR,-32.89668820,-60.70547810,26 a 35, Femenino ,FdT,820842502
341156986705,IVR,-33.02552030,-60.63376080,46 a 55, Masculino ,JxC,820840412
341157190105,IVR,-32.94056670,-60.65121370,46 a 55, Femenino ,FIT,820848414
343154580753,IVR,-32.95816660,-60.66756950,46 a 55, Femenino ,OTROS,820843303
347615366933,IVR,-32.98894300,-60.64294570,26 a 35, Masculino ,LIBERTARIOS,821190207
347615540259,IVR,-32.94100020,-60.68829470,56 y mas, Masculino ,FdT,821190304
347615540658,IVR,-32.97011370,-60.65305110,16 a 25, Femenino ,NINGUNO/NOSABE,821190305
347615672682,IVR,-32.90775940,-60.75272080,56 y mas, Otro ,LIBERTARIOS,820843707
348715470373,IVR,-32.94216150,-60.63993550,56 y mas, Masculino ,FdT,820280512
387154502466,IVR,-32.95710020,-60.63770860,56 y mas, Femenino ,FdT,820842113
